date_and_time,lost_revenue
2022-09-21 10:24:06.533312-04:00,7015.262000000001
2022-09-21 10:25:12.217251-04:00,7015.262000000001
2022-09-21 10:26:18.002153-04:00,7015.262000000001
2022-09-21 10:27:23.790736-04:00,7015.262000000001
2022-09-21 10:28:29.846980-04:00,7015.262000000001
2022-09-21 10:29:35.572392-04:00,7015.262000000001
2022-09-21 10:30:41.521772-04:00,7015.262000000001
2022-09-21 10:31:47.481224-04:00,7015.262000000001
2022-09-21 10:32:53.406124-04:00,7015.262000000001
2022-09-21 10:34:00.742675-04:00,7015.262000000001
2022-09-21 10:35:06.662454-04:00,7015.262000000001
2022-09-21 10:36:12.743619-04:00,6999.2576
2022-09-21 10:37:18.934129-04:00,6999.2576
2022-09-21 10:38:24.872807-04:00,6999.2576
2022-09-21 10:39:30.947416-04:00,6999.2576
2022-09-21 10:40:36.832297-04:00,6999.2576
2022-09-21 10:41:42.786379-04:00,6999.2576
2022-09-21 10:42:48.673187-04:00,6999.2576
2022-09-21 10:43:55.403139-04:00,6999.2576
2022-09-21 10:45:02.186155-04:00,6999.2576
2022-09-21 10:46:08.461125-04:00,6999.2576
2022-09-21 10:47:14.619897-04:00,6999.2576
2022-09-21 10:48:21.059689-04:00,6999.2576
2022-09-21 10:49:26.972658-04:00,6999.2576
2022-09-21 10:50:33.020218-04:00,6999.2576
2022-09-21 10:51:39.047015-04:00,6999.2576
2022-09-21 10:52:45.196607-04:00,6999.2576
2022-09-21 10:53:51.178099-04:00,6999.2576
2022-09-21 10:54:59.019989-04:00,6999.2576
2022-09-21 10:56:04.877040-04:00,6999.2576
2022-09-21 10:57:12.226821-04:00,6999.2576
2022-09-21 10:58:18.897738-04:00,6999.2576
2022-09-21 10:59:24.721547-04:00,6999.2576
2022-09-21 11:00:30.616039-04:00,6999.2576
2022-09-21 11:01:36.506321-04:00,6999.2576
2022-09-21 11:02:42.694311-04:00,6999.2576
2022-09-21 11:03:48.815208-04:00,6999.2576
2022-09-21 11:04:55.197350-04:00,6999.2576
2022-09-21 11:06:01.201091-04:00,6945.9096
2022-09-21 11:07:08.782162-04:00,6945.9096
2022-09-21 11:08:15.955369-04:00,6945.9096